"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Taxable","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"Admin Training & Documentation","",0,"Service","Single","Professional Services",,"No","","","","","","","","","","",4000,"0","Services","","",,"",0
"API/Integration Setup","",0,"Service","Single","Professional Services:Custom Development Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Basic Lead Form - Credit","",0,"Service","Single","Professional Services:Website Services:Lead Capture Assets",,"No","","","","","","","","","","",-250,"0","Services","","","Complimentary basic forms bundle included with hosting plan. Applied as a credit against development charges.",,0
"Basic Lead Form Implementation","",0,"Service","Single","Professional Services:Website Services:Lead Capture Assets",,"No","","","","","","","","","","",,,"Services","","","Standard lead capture forms for inquiries and signups.",,0
"Conversion Rate Optimization (CRO) Services","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","","0","0","Services","","","Systematic testing and optimization of your website’s pages and forms to increase the percentage of visitors who convert.",,0
"Credit Card Fee","",0,"Non-Inventory","Single","Fees",,"No","","","","","","","","","","",0.03,"0","Services","","",,,0
"Custom Development","",0,"Service","Single","Professional Services:Custom Development Services",,"No","","","","","","","","","","","0","0","Services","","","Custom quoted development services",,0
"Custom Email Setup and Configuration","",0,"Service","Single","Professional Services:Custom Development Services",,"No","","","","","","","","","","",,,"Services","","","Fee for initial setup and configuration for custom email accounts",,0
"Data Mapping & Information Architecture (IA)","",0,"Service","Single","Professional Services:Custom Development Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Delivery","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","",10000,"0","Services","","","Final delivery and launch (2 of 2)",,0
"Development","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","",10000,"0","Services","","","Prototyping and development (1 of 2)",,0
"Digital Marketing & Consulting Retainer","",0,"Service","Single",,,"No","","","","","","","","","","",5000,"0","Services","","","Website hosting, maintenance, third-party vendor management & managed services",,0
"Discovery & Planning","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","",8000,"0","Services","","",,,0
"eCommerce - Checkout & Payment Configuration","",0,"Service","Single","Managed Services:Website Management Services:E-Commerce Services",,"No","","","","","","","","","","",7000,"0","Services","","",,,0
"eCommerce - Customer/Order Data Migration","",0,"Service","Single","Professional Services:Website Services:E-Commerce Services",,"No","","","","","","","","","","",9000,"0","Services","","",,,0
"Email Marketing - Single Campaign","",0,"Service","Single","Professional Services:Digital Marketing Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Enterprise Resource Planning (ERP)  Implementation - Odoo","",0,"Service","Single","Professional Services:Custom Development Services",,"No","","","","","","","","","","",30000,"0","Services","","",,,0
"Google Ads Management","",0,"Bundle","Parent",,,"No","","","","","","","","","","",,,"","","","Monthly spend + management for Google Ads campaign(s)","",0
"Google Ads Management","",0,"Service","Single","Managed Services:Paid Search",,"No","","","","","","","","","","",,,"Services","","","20% of monthly Google Ads spend",,0
"Google Ads Spend","",0,"Service","Single","Managed Services:Paid Search",,"No","","","","","","","","","","",,,"Advertising Spend","","","Net monthly spend for Google Ads campaign",,0
"Google Local Services Ads Management","",0,"Bundle","Parent",,,"No","","","","","","","","","","",,,"","","","Monthly spend + management for Google Local Services Ads campaign","",0
"Google Local Services Ads Mangement","",0,"Service","Single","Managed Services:Paid Search",,"No","","","","","","","","","","","0","0","Services","","","20% of monthly GLSA ad spend",,0
"Google Local Services Ads Spend","",0,"Service","Single","Managed Services:Paid Search",,"No","","","","","","","","","","",,,"Advertising Spend","","","Net monthly spend for Google Local Services Ads (GLSA) campaign",,0
"Landing Page - Credit","",0,"Service","Single","Professional Services:Website Services:Lead Capture Assets",,"No","","","","","","","","","","",,,"Services","","","Complimentary landing page included with hosting plan. Applied as a credit against development charges.",,0
"Landing Page Development","",0,"Service","Single","Professional Services:Website Services:Lead Capture Assets",,"No","","","","","","","","","","",,,"Services","","","Custom landing page build for campaigns, promotions, or product launches.",,0
"Late fee","",0,"Service","Single","Fees",,"No","","","","","","","","","","","0","0","Late Fee Income","","",,,0
"Managed Hosting","",0,"Service","Single","Managed Services:Hosting Services",,"No","","","","","","","","","","",100,"0","Services","","",,,0
